"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3168","Validate Council Output [SouthwarkCouncil]","","Wed Jan 29 02:27:47 GMT 2025","passed","Wed Jan 29 02:27:50 GMT 2025","","","",""
"","35121","Validate Council Output [NewcastleCityCouncil]","","Wed Jan 29 02:27:06 GMT 2025","passed","Wed Jan 29 02:27:41 GMT 2025","","","",""
"","3301","Validate Council Output [BurnleyBoroughCouncil]","","Wed Jan 29 01:48:09 GMT 2025","passed","Wed Jan 29 01:48:12 GMT 2025","","","",""
"","2729","Validate Council Output [WestLancashireBoroughCouncil]","","Wed Jan 29 02:39:16 GMT 2025","passed","Wed Jan 29 02:39:19 GMT 2025","","","",""
"","7194","Validate Council Output [LancasterCityCouncil]","","Wed Jan 29 02:21:13 GMT 2025","passed","Wed Jan 29 02:21:20 GMT 2025","","","",""
"","4453","Validate Council Output [NorthEastLincs]","","Wed Jan 29 02:21:28 GMT 2025","passed","Wed Jan 29 02:21:33 GMT 2025","","","",""
"","1868","Validate Council Output [FalkirkCouncil]","","Wed Jan 29 02:03:57 GMT 2025","passed","Wed Jan 29 02:03:59 GMT 2025","","","",""
"","1607","Validate Council Output [LichfieldDistrictCouncil]","","Wed Jan 29 02:21:53 GMT 2025","passed","Wed Jan 29 02:21:55 GMT 2025","","","",""
"","2839","Validate Council Output [GwyneddCouncil]","","Wed Jan 29 02:18:37 GMT 2025","passed","Wed Jan 29 02:18:40 GMT 2025","","","",""
"","300059","Validate Council Output [StHelensBC]","","Wed Jan 29 02:27:46 GMT 2025","failed","Wed Jan 29 02:32:46 GMT 2025","","","",""
"","5561","Validate Council Output [BuryCouncil]","","Wed Jan 29 01:48:12 GMT 2025","passed","Wed Jan 29 01:48:17 GMT 2025","","","",""
"","46494","Validate Council Output [TendringDistrictCouncil]","","Wed Jan 29 02:38:00 GMT 2025","failed","Wed Jan 29 02:38:46 GMT 2025","","","",""
"","2870","Validate Council Output [ChesterfieldBoroughCouncil]","","Wed Jan 29 01:59:48 GMT 2025","passed","Wed Jan 29 01:59:51 GMT 2025","","","",""
"","1355","Validate Council Output [HullCityCouncil]","","Wed Jan 29 02:18:58 GMT 2025","passed","Wed Jan 29 02:19:00 GMT 2025","","","",""
"","3863","Validate Council Output [ShropshireCouncil]","","Wed Jan 29 02:27:31 GMT 2025","passed","Wed Jan 29 02:27:34 GMT 2025","","","",""
"","4670","Validate Council Output [RugbyBoroughCouncil]","","Wed Jan 29 02:27:45 GMT 2025","passed","Wed Jan 29 02:27:50 GMT 2025","","","",""
"","4197","Validate Council Output [NorthHertfordshireDistrictCouncil]","","Wed Jan 29 02:21:33 GMT 2025","passed","Wed Jan 29 02:21:37 GMT 2025","","","",""
"","4886","Validate Council Output [CheshireWestAndChesterCouncil]","","Wed Jan 29 01:59:43 GMT 2025","passed","Wed Jan 29 01:59:48 GMT 2025","","","",""
"","668","Validate Council Output [AdurAndWorthingCouncils]","","Wed Jan 29 01:42:43 GMT 2025","passed","Wed Jan 29 01:42:44 GMT 2025","","","",""
"","2422","Validate Council Output [HarrogateBoroughCouncil]","","Wed Jan 29 02:12:39 GMT 2025","passed","Wed Jan 29 02:12:42 GMT 2025","","","",""
"","1921","Validate Council Output [TonbridgeAndMallingBC]","","Wed Jan 29 02:37:36 GMT 2025","passed","Wed Jan 29 02:37:38 GMT 2025","","","",""
"","646","Validate Council Output [SouthLanarkshireCouncil]","","Wed Jan 29 02:32:35 GMT 2025","passed","Wed Jan 29 02:32:36 GMT 2025","","","",""
"","4074","Validate Council Output [BirminghamCityCouncil]","","Wed Jan 29 01:43:19 GMT 2025","passed","Wed Jan 29 01:43:23 GMT 2025","","","",""
"","1281","Validate Council Output [HuntingdonDistrictCouncil]","","Wed Jan 29 02:19:00 GMT 2025","passed","Wed Jan 29 02:19:01 GMT 2025","","","",""
"","368313","Validate Council Output [ChelmsfordCityCouncil]","","Wed Jan 29 01:53:32 GMT 2025","passed","Wed Jan 29 01:59:40 GMT 2025","","","",""
"","2251","Validate Council Output [NorthTynesideCouncil]","","Wed Jan 29 02:26:51 GMT 2025","passed","Wed Jan 29 02:26:53 GMT 2025","","","",""
"","2353","Validate Council Output [HartlepoolBoroughCouncil]","","Wed Jan 29 02:12:43 GMT 2025","passed","Wed Jan 29 02:12:45 GMT 2025","","","",""
"","2190","Validate Council Output [SouthCambridgeshireCouncil]","","Wed Jan 29 02:27:22 GMT 2025","passed","Wed Jan 29 02:27:25 GMT 2025","","","",""
"","1638","Validate Council Output [CrawleyBoroughCouncil]","","Wed Jan 29 02:00:48 GMT 2025","passed","Wed Jan 29 02:00:50 GMT 2025","","","",""
"","1121","Validate Council Output [RochfordCouncil]","","Wed Jan 29 02:27:39 GMT 2025","passed","Wed Jan 29 02:27:40 GMT 2025","","","",""
"","823","Validate Council Output [BasildonCouncil]","","Wed Jan 29 02:01:39 GMT 2025","passed","Wed Jan 29 02:01:40 GMT 2025","","","",""
"","52893","Validate Council Output [HounslowCouncil]","","Wed Jan 29 02:18:05 GMT 2025","passed","Wed Jan 29 02:18:58 GMT 2025","","","",""
"","6238","Validate Council Output [CumberlandAllerdaleCouncil]","","Wed Jan 29 02:00:58 GMT 2025","passed","Wed Jan 29 02:01:04 GMT 2025","","","",""
"","2650","Validate Council Output [SouthHamsDistrictCouncil]","","Wed Jan 29 02:27:27 GMT 2025","passed","Wed Jan 29 02:27:30 GMT 2025","","","",""
"","1168","Validate Council Output [NuneatonBedworthBoroughCouncil]","","Wed Jan 29 02:20:43 GMT 2025","passed","Wed Jan 29 02:20:44 GMT 2025","","","",""
"","1177","Validate Council Output [TorbayCouncil]","","Wed Jan 29 02:37:38 GMT 2025","passed","Wed Jan 29 02:37:39 GMT 2025","","","",""
"","1998","Validate Council Output [RotherhamCouncil]","","Wed Jan 29 02:27:42 GMT 2025","passed","Wed Jan 29 02:27:44 GMT 2025","","","",""
"","178692","Validate Council Output [EastHertsCouncil]","","Wed Jan 29 02:04:05 GMT 2025","passed","Wed Jan 29 02:07:04 GMT 2025","","","",""
"","1426","Validate Council Output [WolverhamptonCityCouncil]","","Wed Jan 29 02:44:58 GMT 2025","passed","Wed Jan 29 02:44:59 GMT 2025","","","",""
"","1226","Validate Council Output [BedfordshireCouncil]","","Wed Jan 29 01:42:42 GMT 2025","passed","Wed Jan 29 01:42:43 GMT 2025","","","",""
"","876","Validate Council Output [BathAndNorthEastSomersetCouncil]","","Wed Jan 29 02:01:44 GMT 2025","passed","Wed Jan 29 02:01:44 GMT 2025","","","",""
"","10","Validate Council Output [EdinburghCityCouncil]","","Wed Jan 29 02:18:54 GMT 2025","passed","Wed Jan 29 02:18:54 GMT 2025","","","",""
"","67246","Validate Council Output [WindsorAndMaidenheadCouncil]","","Wed Jan 29 02:39:27 GMT 2025","passed","Wed Jan 29 02:40:35 GMT 2025","","","",""
"","5036","Validate Council Output [DudleyCouncil]","","Wed Jan 29 02:01:50 GMT 2025","passed","Wed Jan 29 02:01:55 GMT 2025","","","",""
"","10147","Validate Council Output [WestSuffolkCouncil]","","Wed Jan 29 02:39:26 GMT 2025","passed","Wed Jan 29 02:39:37 GMT 2025","","","",""
"","30780","Validate Council Output [LeedsCityCouncil]","","Wed Jan 29 02:21:20 GMT 2025","passed","Wed Jan 29 02:21:51 GMT 2025","","","",""
"","2388","Validate Council Output [BromsgroveDistrictCouncil]","","Wed Jan 29 01:42:37 GMT 2025","passed","Wed Jan 29 01:42:39 GMT 2025","","","",""
"","17133","Validate Council Output [PowysCouncil]","","Wed Jan 29 02:21:41 GMT 2025","passed","Wed Jan 29 02:21:58 GMT 2025","","","",""
"","178484","Validate Council Output [CotswoldDistrictCouncil]","","Wed Jan 29 01:57:48 GMT 2025","failed","Wed Jan 29 02:00:46 GMT 2025","","","",""
"","4031","Validate Council Output [SurreyHeathBoroughCouncil]","","Wed Jan 29 02:32:58 GMT 2025","passed","Wed Jan 29 02:33:02 GMT 2025","","","",""
"","1394","Validate Council Output [HighlandCouncil]","","Wed Jan 29 02:13:00 GMT 2025","passed","Wed Jan 29 02:13:02 GMT 2025","","","",""
"","1183","Validate Council Output [HartDistrictCouncil]","","Wed Jan 29 02:12:42 GMT 2025","passed","Wed Jan 29 02:12:43 GMT 2025","","","",""
"","46107","Validate Council Output [StocktonOnTeesCouncil]","","Wed Jan 29 02:37:49 GMT 2025","passed","Wed Jan 29 02:38:35 GMT 2025","","","",""
"","27153","Validate Council Output [BroxtoweBoroughCouncil]","","Wed Jan 29 01:42:41 GMT 2025","passed","Wed Jan 29 01:43:08 GMT 2025","","","",""
"","2751","Validate Council Output [GraveshamBoroughCouncil]","","Wed Jan 29 02:17:50 GMT 2025","passed","Wed Jan 29 02:17:53 GMT 2025","","","",""
"","2815","Validate Council Output [NorthAyrshireCouncil]","","Wed Jan 29 02:20:40 GMT 2025","passed","Wed Jan 29 02:20:43 GMT 2025","","","",""
"","1017","Validate Council Output [BarnsleyMBCouncil]","","Wed Jan 29 02:01:38 GMT 2025","passed","Wed Jan 29 02:01:39 GMT 2025","","","",""
"","2522","Validate Council Output [RedditchBoroughCouncil]","","Wed Jan 29 02:26:58 GMT 2025","passed","Wed Jan 29 02:27:01 GMT 2025","","","",""
"","1565","Validate Council Output [LondonBoroughLambeth]","","Wed Jan 29 02:13:07 GMT 2025","passed","Wed Jan 29 02:13:08 GMT 2025","","","",""
"","495","Validate Council Output [WestNorthamptonshireCouncil]","","Wed Jan 29 02:39:20 GMT 2025","passed","Wed Jan 29 02:39:21 GMT 2025","","","",""
"","6649","Validate Council Output [CroydonCouncil]","","Wed Jan 29 02:00:50 GMT 2025","passed","Wed Jan 29 02:00:56 GMT 2025","","","",""
"","120470","Validate Council Output [EastDevonDC]","","Wed Jan 29 02:02:05 GMT 2025","failed","Wed Jan 29 02:04:05 GMT 2025","","","",""
"","2453","Validate Council Output [RotherDistrictCouncil]","","Wed Jan 29 02:27:40 GMT 2025","passed","Wed Jan 29 02:27:42 GMT 2025","","","",""
